No,Judul,Tahun
1,Haversine,2022
2,Pengembangan game edukasi tiga dimensi life as network support berbasis desktop untuk mengetahui kemampuan troubleshooting jaringan siswa mata pelajaran komputer dan jaringan dasar pada kelas X TKJ,2022
3,Pengembangan e-modul perangkat lunak desain berbasis project based learning untuk meningkatkan hasil belajar siswa smk-dkv kelas xi,2022
4,Hubungan keaktifan mahasiswa berorganisasi dan indeks prestasi kumulatif (IPK) mahasiswa pendidikan teknik informatika 2018 Universitas Negeri Malang dengan kesiapan menjadi guru kejuruan,2022
5,Pengaruh blended learning berbantuan nearpod dan autoplay terhadap hasil belajar siswa pada mata pelajaran informatika di SMKN 8 Malang,2022
6,Hubungan motivasi belajar mata kuliah metodologi penelitian dan minat baca terhadap kemampuan menulis karya ilmiah mahasiswa jurusan teknik elektro Universitas Negeri Malang,2022
7,Pengembangan sistem pendukung keputusan pemilihan mata kuliah peminatan dengan metode analytic hierarchy process (AHP) untuk mahasiswa Prodi PTI di Universitas Negeri Malang,2022
8,Peran lingkungan belajar dan minat melanjutkan studi terhadap ekspektasi memilih karir pada siswa kelas xii jurusan teknik komputer jaringan di kota malang,2022
9,Pengaruh penerapan project based learning dengan pendekatan saintifik terhadap hasil belajar peserta didik pada mata pelajaran komputer jaringan dasar peserta didik tkj smk negeri 2 turen,2022
10,Pengaruh pemanfaatan media pembelajaran audio visual dengan model pembelajaran discovery learning untuk meningkatkan hasil belajar peserta didik pada mata pelajaran komputer dan jaringan dasar di SMK NU Gondanglegi,2022
11,Hubungan kegiatan praktik industri dan nilai akademik siswa jurusan multimedia SMKN 1 Depok dengan kesiapan kerja,2022
12,Perbedaan pembelajaran e-modul berbasis problem based learning dan project based learning pada mata pelajaran dasar-dasar pengembangan perangkat lunak dan gim untuk meningkatkan hasil belajar siswa SMKN 5 Malang,2022
13,Hubungan adversity intelligence dan kemampuan vokasi dengan kemampuan pembelajaran calon Guru SMK Abad 21 pada Mahasiswa S1 Kependidikan Jurusan TE FT UM,2022
14,Inovasi pengembangan modul e-book pemodelan perangkat lunak berbasis project based learning untuk kelas XI di SMK,2022
15,Penerapan model problem based learning (pbl) daring dan problem based learning (pbl) luring terhadap hasil belajar siswa SMK Brantas Karangkates,2022
16,Pengembangan Website sumber belajar untuk meningkatkan programming skill pada pembelajaran pemrograman berorientasi objek bagi siswa Kelas XI SMK,2022
17,Pengembangan e-Learning berbasis gamifikasi pada mata pelajaran Basis Data untuk menumbuhkan motivasi belajar siswa kelas XI Rekayasa Perangkat Lunak di SMK,2022
18,"Pengaruh metode mengajar, kreativitas guru, dan ketersediaan media dalam strategi pembelajaran di masa pandemi terhadap motivasi belajar siswa kelas XI tkj SMK Negeri 2 Turen",2022
19,Pengembangan platform inkubasi bisnis untuk meningkatkan motivasi belajar siswa SMK pada mata pelajaran projek kreatif dan kewirausahaan,2022
20,Pengembangan media pembelajaran berbasis website bermuatan problem based learning pada materi pemrograman web untuk siswa SMK,2022
21,Media pembelajaran e-modul interaktif sebagai sumber belajar teknik dasar fotografi kelas xi multimedia SMK Negeri 1 Sintang,2022
22,Model pembelajaran project based learning sebagai upaya peningkatan prestasi belajar dan motivasi belajar siswa dalam pembelajaran desain grafis percetakan pada Kelas XI multimedia di SMKN 1 Nganjuk,2022
23,Pengembangan bahan ajar berbasis visual 3 dimensi bermuatan problem based learning untuk menumbuhkan motivasi belajar mahasiswa pada mata kuliah organisasi dan arsitektur komputer,2022
24,Hubungan persepsi mahasiswa terhadap pendidikan 4.0 dengan kesiapan menjadi guru di era revolusi industri 4.0 pada mahasiswa program studi S1 pendidikan teknik informatika jurusan teknik elektro Universitas Negeri Malang,2022
25,Pengembangan media tutorial interaktif untuk pembelajaran komputasi numerik bermuatan contextual learning untuk Mahasiswa S1 Pendidikan Teknik Informatika Jurusan Teknik Elektro Universitas Negeri Malang,2022
26,Pengembangan media pembelajaran interaktif bermuatan project based learning pada mata pelajaran administrasi sistem jaringan terhadap tingkat kemandirian belajar siswa SMK,2022
27,Penerapan model pembelajaran team accelerated instruction (tai) terhadap penguasaan sintaksis dan semantik pada mata pelajaran pemrograman dasar di Sekolah Menengah Kejuruan Negeri (SMKN) 7 Malang,2022
28,Hubungan praktik kerja industri dan literasi digital terhadap kesiaoan kerja siswa SMKN 1 Jenangan bidang keahlian rekayasa perangkat lunak,2022
29,Media pembelajaran berbasis augmented reality terintegrasi case based learning pada materi instalasi jaringan komputer untuk meningkatkan motivasi belajar siswa SMK,2022
30,Pengembangan media pembelajaran kamera DSLR pada materi fotografi dengan penerapan model Problem Based Learning (PBL) untuk siswa kelas XI Multimedia SMK Negeri 7 Malang,2022
31,Pengaruh Model Pembelajaran Kooperatif Tipe Jigsaw Berbantuan Discord Terhadap Collaboration Skill Mata Pelajaran Sistem Keamanan Jaringan Siswa Kompetensi Keahlian TKJ,2022
32,E-modul berbasis kearifan lokal menggunakan flipbook digital pada mata pelajaran teknik pengolahan audio dan video untuk menumbuhkan motivasi belajar siswa SMK,2022
33,Pocketbook sebagai sumber belajar dasar desain grafis untuk menumbuhkan minat belajar siswa jurusan multimedia di SMK,2022
34,Pengembangan media interaktif berbasis mobile learning pada mata pelajaran sistem komputer untuk meningkatkan hasil belajar siswa kelas x program keahlian teknik komputer dan jaringan,2022
35,Pengembangan media interaktif dengan model problem based learning pada mata pelajaran komputer dan jaringan dasar Kelas X di SMK Malang,2022
36,Pengaruh model pembelajaran Project Based Learning berbantuan google classroom terhadap hasil belajar peserta didik kelas X Multimedia SMK Negeri 7 Malang,2022
37,Komparasi model predict-observe-explain dan discovery learning terhadap hasil belajar siswa kelas xi di smkn 7 malang,2022
38,Pengaruh penerapan model pembelajaran explicit instruction dengan metode demonstrasi terhadap hasil belajar mata pelajaran perakitan komputer siswa tkj kelas x smk nu trate gresik,2022
39,Pengembangan media pembelajaran berbasis android untuk meningkatkan minat belajar siswa pada mata pelajaran basis data Kelas xi kompetensi keahlian rekayasa perangkat lunak di SMK,2022
40,Pengembangan modul pembelajaran dasar desain grafis berbasis production-based education and training untuk meningkatkan motivasi dan hasil belajar siswa SMK,2022
41,Pengembangan game edukasi berbasis mobile sebagai media pendukung pada mata pelajaran komputer dan jaringan dasar untuk kelas x program keahlian TKJ di SMKN 3 Malang,2022
42,Pengembangan media pembelajaran berbasis teknologi virtual reality sebagai upaya meningkatkan pemahaman siswa pada materi perakitan komputer Kelas X teknik komputer dan jaringan SMK Negeri 2 Magetan,2022
43,Pengembangan media pembelajaran berbasis webtoon untuk menumbuhkan motivasi belajar siswa pada mata pelajaran animasi 2d di smk ypk serui papua,2022
44,Kontribusi pemanfaatan learning management system terhadap penilaian hasil belajar siswa bidang keahlian teknologi informasi SMK di Malang Raya,2022
45,Perbandingan penerapan pembelajaran online dengan model project based learning (PJBL) dan think pair share (TPS) terhadap kreativitas dan kolaborasi siswa pada mata pelajaran sistem komputer kelas X program keahlianTKJ di SMKN 07 Malang,2022
46,Mobile learning mata pelajaran teknik pengolahan audio dan video bermuatan problem based learning untuk menumbuhkan kreativitas Siswa kompetensi keahlian multimedia,2022
47,Pengembangan media pembelajaran microlearning dengan instagram bermuatan problem based learning untuk meningkatkan motivasi belajar mata pelajaran simulasi dan komunikasi digital siswa SMK,2022
48,Hubungan sarana prasarana dan kompetensi guru terhadap motivasi belajar siswa kompetensi keahlian rekayasa perangkat lunak di SMK Negeri Pasirian,2022
49,Perbedaan penggunaan replit dan icode-go terhadap minat belajar layanan komputasi awan siswa Kelas XI Sija SMKN 6 Malang,2022
50,Pengembangan bahan ajar berbasis virtual laboratory platform tinkercad untuk meningkatkan minat belajar dasar teknik digital bagi Mahasiswa Pendidikan Teknik Informatika Universitas Negeri Malang,2022
51,Media pembelajaran berbasis android menggunakan pendekatan steam untuk meningkatkan minat belajar basis data peserta didik SMK Kompetensi Keahlian Rekayasa Perangkat Lunak,2022
52,Perbedaan hasil belajar siswa menggunakan model pembelajaran probing-prompting dengan model pembelajaran discovery learning di SMK N 1 Kademangan,2022
53,Analisis literasi digital calon guru teknik komputer dan informatika pada masa pandemi covid-19 (studi kasus mahasiswa 2018 pti – FT Universitas Negeri Malang),2022
54,Pengembangan laboratorium virtual bermuatan project-based learning berbasis android untuk meningkatkan pemahaman siswa SMK pada mata pelajaran komputer dan jaringan dasar,2022
55,Penerapan model pembelajaran self organized learning environments (SOLE) terhadap hasil belajar dan minat siswa kelas XI SMKN 6 Malang,2022
56,Penerapan blended learning menggunakan learning management system (lms) terhadap hasil belajar siswa kelas x TKJ SMKN 1 Pogalan,2022
57,Pengembangan media pembelajaran berbasis game edukasi untuk meningkatkan motivasi belajar siswa pada mata pelajaran sistem komputer di SMK Malang,2022
58,Pengembangan sistem klasterisasi sikap disiplin kerja mahasiswa program studi kependidikan Jurusan Teknik Elektro Universitas Negeri Malang pada pelaksanaan praktik industri,2022
59,Perbandingan hasil belajar siswa pada pembelajaran daring menggunakan model problem based learning dengan pembelajaran luring menggunakan model problem based learning di SMK Negeri 2 Turen,2022
60,Hubungan pengalaman praktik kerja industri (prakerin) dan kemanfaatan pembelajaran teaching factory dengan minat berwirausaha pada era revolusi industri 4.0 pada siswa kelas xii kompetensi keahlian multimedia di SMKN 12 Kota Malang,2022
61,Pengembangan media pembelajaran website interaktif dengan model problem based learning untuk meningkatkan motivasi belajar pada materi sistem keamanan jaringan telekomunikasi siswa Kelas X TKJ SMKN 4 Malang,2022
62,Penerapan media staruml dan media drawio pada model pembelajaran project based learning terhadap hasil belajar siswa kelas xi rpl mata pelajaran pemodelan perangkat lunak di smkn 8 malang,2022
63,Efektivitas penggunaan google classroom dan class dojo dengan model discovery learning terhadap hasil belajar siswa kelas x multimedia di SMKN 7 Malang,2022
64,Pengembangan media pembelajaran berbasis website dengan tambahan fitur text to speech pada mata pelajaran desain grafis Jurusan Multimedia Kelas X untuk meningkatkan efektifitas belajar siswa di SMK Negeri 1 Bendo,2022
65,Hubungan motivasi belajar keamanan sistem komputer dan literasi digital terhadap kesadaran keamanan informasi mahasiswa pendidikan teknik informatika Universitas Negeri Malang,2022
66,Sistem pendukung keputusan penerimaan pengurus baru himpunan mahasiswa jurusan Teknik Elektro berbasis web dengan menggunakan metode simple additive weighting (saw),2022
67,Pengembangan game edukasi visual novel untuk meningkatkan minat belajar siswa pada mata pelajaran pemrograman dasar untuk SMKN di Malang,2022
68,Pengembangan e-modul berbasis mobile dengan pendekatan problem based learning untuk menumbuhkan minat belajar pemrograman berorientasi objek bagi siswa SMK,2022
69,Perbedaan pembelajaran blended learning menggunakan sevima edlink dengan pembelajaran discovery learning terhadap motivasi dan hasil belajar peserta didik SMK Negeri 7 Malang,2022
70,Bahan ajar berbasis mobile learning pada sistem komputer dengan metode contextual teaching and learning untuk meningkatkan kemampuan problem solving peserta didik SMK,2022
71,Pengembangan web interaktif berbasis gamifikasi dengan case method pada mata pelajaran dasar-dasar kejuruan untuk meningkatkan motivasi belajar siswa smk,2022
72,Pengembangan media pembelajaran interaktif berbasis animasi infografis bermuatan contextual teaching learning (CTL) untuk menumbuhkan keaktifan belajar dasar desain grafis pada Siswa Kelas X TKJ SMK Islam 1 Blitar,2022
73,Animasi pembelajaran bermuatan self-directed learning berbasis virtual reality untuk meningkatkan minat belajar teknologi wan bagi siswa kelas xi program keahlian TKJ,2022
74,Sistem informasi monitoring PKL (Praktik Kerja Lapangan) dengan geolocation berbasis website pada SMK Negeri 3 Batu,2022
75,Media pembelajaran interaktif berbasis android bermuatan problem based learning (pbl) mata pelajaran komputer dan jaringan dasar untuk meningkatkan minat belajar siswa jurusan teknik komputer dan jaringan di smk,2022
76,Kontribusi model pembelajaran challenge based learning (cbl) berbantuan media berbasis flash terhadap hasil belajar mata pelajaran dasar desain grafis siswa kelas x tkj di smkn 1 pasuruan,2022
77,Pengembangan e-modul dengan model pembelajaran Problem Based Learning (PBL) pada mata pelajaran pemrograman dasar kelas X jurusan teknik komputer dan jaringan di SMK Negeri 3 Malang,2022
78,Pengembangan media pembelajaran berbasis android dengan animasi 3d bermuatan PJBL untuk menumbuhkan minat belajar Komputer dan Jaringan dasar bagi siswa kelas x SMK Program Keahlian TKJ,2022
79,Media pembelajaran fiber optic berbasis augmented reality untuk meningkatkan motivasi belajar siswa TKJ kelas XI di SMK Malang,2022
80,Pengembangan media pembelajaran augmented reality untuk membangun self efficacy siswa smk pada mata pelajaran administrasi infrastruktur jaringan,2022
81,Analisis pemilihan metode dan media dalam pembelajaran daring sebagai upaya optimalisasi bidang keteknikan ditinjau dari perkuliahan teori dan praktik,2023
82,Penerapan model unified theory of acceptance and use of technology (utaut) untuk memahami penerimaan pengguna sistem ujian online di SMK Negeri 4 Malang,2023
83,E-modul pemrograman web berbasis project-based learning untuk meningkatkan pemahaman uji kompetensi keahlian (ukk) siswa smk pengembangan perangkat lunak dan gim (pplg),2023
84,Studi resiliensi akademik bidang rekayasa perangkat lunak di smk negeri 4 malang,2023
85,Pengaruh pembelajaran kewirausahaan dan pemanfaatan media sosial terhadap minat berwirausaha mahasiswa s1 pendidikan teknik informatika universitas negeri malang,2023
86,Hubungan pengalaman program asistensi mengajar dan locus of control internal terhadap kesiapan menjadi tenaga pendidik bagi mahasiswa s1 pendidikan teknik informatika dan pendidikan teknik elektro,2023
87,Pengembangan media interaktif belajar al-qur’an tingkat dasar berbasis adaptive learning di taman pendidikan al-qur’an (tpq),2023
88,Evaluasi user experience pada edmodo dan google classroom menggunakan technique for user experience evaluation in e-learning (tuxel) (studi pada smk muhammadiyah 3 singosari),2023
89,Pengaruh ketersediaan akses media pembelajaran google meet dan performa guru dalam pembelajaran terhadap minat belajar siswa kelas xii rpl dan tkj pada mata pelajaran dasar desain grafis smkn 8 malang,2023
90,Modul pembelajaran komunikasi data dan jaringan komputer berbasis problem based learning (pbl) untuk meningkatkan pemahaman sertifikasi jaringan komputer bagi mahasiswa s1 pendidikan teknik informatika universitas negeri malang,2023
91,Media pembelajaran berbasis web dengan pendekatan problem based learning untuk meningkatkan minat belajar siswa pada mata pelajaran dasar-dasar pengembangan perangkat lunak dan gim kelas x smk,2023
92,E-modul interaktif pada materi internet of things bermuatan problem based learning untuk menumbuhkan motivasi belajar siswa smk kompetensi keahlian teknik jaringan komputer dan telekomunikasi,2023
93,Penerapan pembelajaran microlearning menggunakan aplikasi discord terhadap minat belajar dan hasil belajar siswa kelas x pada mata pelajaran pemrograman dasar di smk,2023
94,Perbandingan pembelajaran microlearning menggunakan sosial media instagram dan facebook untuk meningkatkan penguasaan materi dasar pemrograman komputer siswa smk,2023
95,Pengaruh implementasi model pembelajaran e-learning berbasis class dojo terhadap hasil belajar mata pelajaran basis data siswa kelas xi prodi rpl di smkn 5 malang,2023
96,Pengembangan media mobile learning berbasis problem based learning untuk meningkatkan minat belajar desain grafis percetakan pada tingkat smk,2023
97,Perbandingan model pembelajaran problem based learning dengan model inquiry learning terhadap kemampuan berpikir kritis siswa pada mata pelajaran dasar teknik jaringan komputer dan telekomunikasi kelas x tjkt di smk,2023
98,Pengaruh penggunaan media pembelajaran puzzle berbasis gamifikasi terhadap hasil belajar siswa pada mata pelajaran komputer dan jaringan dasar kelas 10 tkj smk nasional malang,2023
99,Pengembangan e-modul interaktif bermuatan problem-based learning untuk menumbuhkan minat belajar teknik multimedia bagi mahasiswa pendidikan teknik informatika,2023
100,Media pembelajaran interaktif berbasis project based learning untuk meningkatkan minat belajar pada mata pelajaran animasi 2d dan 3d siswa kelas xi smk program keahlian multimedia,2023
101,Pengembangan e-modul basis data bermuatan problem based learning untuk meningkatkan hasil belajar siswa kelas xi rpl smk brantas karangkates,2023
102,Pengembangan media pembelajaran interaktif dengan pendekatan problem based learning untuk mengetahui tingkat motivasi belajar siswa pada mata pelajaran komputer dan jaringan dasar kelas x multimedia di smk nadhatul ulama gondanglegi,2023
103,Pengembangan media pembelajaran berbasis mobile untuk meningkatkan motivasi belajar siswa pada mata pelajaran teknik pengolahan audio dan video kelas xii multimedia di smk,2023
104,Pengembangan mobile learning berbasis model problem based learning untuk meningkatkan kemampuan berpikir kritis pada mata pelajaran pemrograman dasar siswa di smk,2023
105,Perbedaan implementasi pembelajaran berbantuan media social dan web based learning terhadap hasil belajar siswa pada mata pelajaran basis data pasca pandemi,2023
106,Pengembangan media pembelajaran interaktif bermuatan problem based learning untuk mengetahui tingkat minat belajar animasi 2d dan 3d bagi siswa kelas xi,2023
107,Media pembelajaran berbasis game edukasi untuk menumbuhkan motivasi belajar mata pelajaran komputer dan jaringan dasar di smk,2023
108,Analisis kesiapan mahasiswa program merdeka belajar kampus mengajar pendidikan teknik informatika universitas negeri malang sebagai calon guru ditinjau dari standar kelulusan mata kuliah pengenalan lingkungan persekolahan,2023
109,Pengaruh kompetensi sosial dan kompetensi kepribadian terhadap kesiapan mengajar mahasiswa pendidikan teknik informatika universitas negeri malang,2023
110,Penerapan model pembelajaran cooperative learning menggunakan metode jigsaw terhadap hasil belajar siswa kelas x dkv smk nasional,2023
111,Pengembangan e-modul dilengkapi 3d models bermuatan discovery learning untuk meningkatkan motivasi belajar siswa kelas x smk mata pelajaran dasar-dasar teknik jaringan komputer dan telekomunikasi,2023
112,Pengaruh model pembelajaran problem based learning terhadap hasil belajar siswa kelas x dkv di smkn 4 malang,2023
113,Pengembangan media pembelajaran berbasis mobile learning bermuatan self-directed learning pada mata kuliah dasar pemrograman komputer untuk meningkatkan minat belajar mahasiswa departemen teknik elektro dan informatika universitas negeri malang,2023
114,E-modul berbasis android bermuatan project based learning pada mata pelajaran dasar desain grafis siswa kelas x smkn 1 sukadana untuk meningkatkan hasil belajar siswa,2023
115,Faktor-faktor yang memengaruhi mahasiswa memilih program studi s1 pendidikan teknik informatika universitas negeri malang tahun 2020-2022,2023
116,Implementasi model pembelajaran problem based learning berbantuan classcraft untuk meningkatkan hasil dan minat belajar siswa kelas x tkj di smkn 1 kepanjen,2023
